,region,"Трудящиеся, чел.","Число больниц, ед.","Дети до 16 лет, чел.","Бедность, %","Розничная торговля на душу населения, руб./чел.","Пенсионеры,чел.","Алкоголизм, на тыс.чел","Региональный продукт, на тыс. чел.","Среднедушевой доход, руб.мес./чел.","Реальные доходы,руб.мес./чел.","Количество безработных, %","Миграционный прирост, на тыс.чел","Продажа алкоголя, л.","Наркомания, на тыс.чел","Средняя жилая площадь на чел, м.кв.","Количество школ, шт./1000 чел.","В очереди на переселение, чел.","Валовый продукт, руб./чел.","Врожденные пороки развития, на 100тыс.чел.","Ветхое жильё, м.кв.","Подростковая беременность, на 100тыс.чел.","Общая заболеваемость, на 100тыс.чел.","Рождаемость, чел./1000 чел.","Психические расстройства, на 100тыс.чел."
26,Ленинградская область,64.1,0.026332050430378947,19.0,8.725,229609.5,17.0,35.05,1340222.593117566,31616.0,101.72500000000001,2.3794350233461596,19.69323570555092,9.1075,9.05,17.0,0.2756619194008654,3.8308,625482.85,103.16666666666667,3.0,7.966666666666666,64176.549999999996,7.6072338644903565,472.7
27,Липецкая область,59.3,0.037474171145411114,40.0,8.625,226836.25,0.8,72.15,1297606.3337667556,30917.75,99.42499999999998,2.0523644894754223,0.09695352418434852,5.40045,7.25,16.5,0.4607890273091399,0.6077,506375.175,78.16666666666667,0.2,5.133333333333333,66858.9,9.082911167913046,482.3666666666666
28,Магаданская область,57.8,0.131338390736966,30.7,9.65,231462.25,11.5,147.75,2600323.965123528,62711.0,103.52499999999999,3.1521213776871835,-9.493138882467901,10.9088,8.3,13.8,0.4788640511898731,0.0,1476716.35,191.5,0.2,0.0,68714.79999999999,9.846876948186129,502.6666666666667
29,Москва,48.5,0.011936910141770238,38.4,6.625,389376.75,13.2,21.25,1460100.3458214537,71807.75,102.3,0.9609312304443421,5.160890218489297,5.7359,9.1,13.8,0.3361460645803436,4.096,1486806.2249999999,139.06666666666666,0.5,0.0,63887.45,10.496908260561026,335.7
30,Московская область,44.4,0.022139587617914402,49.9,7.325,319447.0,5.7,39.95,834960.3008746792,45324.75,100.625,1.6748647673283226,11.583538141065576,9.7168,11.45,14.8,0.24602229527073446,0.9569999999999999,636135.825,88.7,1.0,2.766666666666667,70404.35,10.744451079702019,424.9666666666667
31,Мурманская область,55.8,0.052322206144160006,43.7,10.475000000000001,231403.5,0.4,57.15,1484839.4432717306,42857.25,100.85,3.819187786064164,-5.7411123900983725,9.83795,7.550000000000001,17.7,0.27469720273317083,1.8483,807275.275,65.16666666666667,2.4,8.533333333333333,85433.1,9.45965491338842,485.76666666666665
32,Ненецкий автономный округ,52.4,0.045487110090178196,45.6,9.774999999999999,221396.0,2.0,151.15,14699736.041143091,79187.5,101.92500000000001,4.15069879572876,-2.3710156134505382,8.83535,1.15,20.9,1.2728140555037843,0.0,6519595.449999999,901.4333333333333,5.9,0.0,140189.45,14.032773462819973,948.3666666666668
33,Нижегородская область,64.5,0.04248050819090864,31.7,9.6,231121.75,3.8,46.2,936912.8939722175,32299.0,98.375,2.32324969065973,0.38154938196286925,6.9158,7.15,17.5,0.36509754070791206,0.16720000000000002,474229.17499999993,442.43333333333334,0.5,12.4,91170.45000000001,9.52501365500277,339.8333333333333
34,Новгородская область,58.6,0.058779651643636355,40.1,13.725,195159.75,1.3,68.15,739037.4501304328,25830.0,96.575,2.301513120694494,-0.43463826919590265,7.57055,11.100000000000001,17.6,0.512798527888985,0.0,444603.45,203.23333333333335,0.4,14.266666666666666,89095.05,9.169625656407272,412.73333333333335
35,Новосибирская область,61.5,0.03781376238154301,34.1,14.225000000000001,184528.5,4.4,31.7,487148.3678988756,29668.0,101.325,3.2365713204297006,2.7857631722269924,5.88855,21.25,16.3,0.5037920661893133,1.3679999999999999,470008.92499999993,120.60000000000001,1.8,6.933333333333334,76264.95,11.305329285289424,357.4666666666667
36,Омская область,56.2,0.04177546762574256,38.8,13.825,175088.5,5.1,29.5,987000.3018828563,26114.75,98.625,3.817457609113101,-5.694406303328595,4.2855,7.25,16.9,0.5392634283991324,0.27180000000000004,382728.4,266.2666666666667,0.8,7.833333333333333,88733.5,10.360956699215224,402.1333333333334
37,Оренбургская область,53.9,0.04171341464110424,42.8,14.2,160278.0,3.3,96.55,918333.3922781497,23874.25,99.125,2.3709448443423993,-2.4893652980651697,4.8035499999999995,4.1,19.0,0.6183888518091539,1.2730000000000001,520276.82499999995,314.46666666666664,1.8,17.666666666666668,78544.45000000001,10.55704398204117,783.3333333333334
