,region,"Трудящиеся, чел.","Число больниц, ед.","Дети до 16 лет, чел.","Бедность, %","Розничная торговля на душу населения, руб./чел.","Пенсионеры,чел.","Алкоголизм, на тыс.чел","Региональный продукт, на тыс. чел.","Среднедушевой доход, руб.мес./чел.","Реальные доходы,руб.мес./чел.","Количество безработных, %","Миграционный прирост, на тыс.чел","Продажа алкоголя, л.","Наркомания, на тыс.чел","Средняя жилая площадь на чел, м.кв.","Количество школ, шт./1000 чел.","В очереди на переселение, чел.","Валовый продукт, руб./чел.","Врожденные пороки развития, на 100тыс.чел.","Ветхое жильё, м.кв.","Подростковая беременность, на 100тыс.чел.","Общая заболеваемость, на 100тыс.чел.","Рождаемость, чел./1000 чел.","Психические расстройства, на 100тыс.чел."
55,Республика Саха (Якутия),50.7,0.06285290093296467,44.2,18.325,240733.0,5.1,133.95,1839326.9092150629,43798.25,101.025,3.665125951523084,-0.4534203100225805,5.59085,3.0,16.5,1.3200875219064014,1.9349999999999998,1142831.35,267.8666666666666,5.2,19.599999999999998,103609.70000000001,13.699345864253253,489.1333333333334
56,Республика Северная Осетия-Алания,58.4,0.04391105405450754,34.8,14.025,163535.5,6.8,44.349999999999994,92650.45522911039,23610.25,98.6,5.619186917219095,-5.305383530927126,0.62065,7.2,16.4,0.3890191160858692,0.0,240766.82499999998,551.5,2.6,3.3666666666666667,71479.85,12.444321318959544,225.53333333333333
57,Республика Татарстан,50.7,0.026378191512473514,42.0,6.925000000000001,233713.5,7.3,50.65,1363745.3398958337,34375.75,99.2,1.788069137560857,1.065909986956594,6.6901,9.9,16.2,0.4735145151201094,2.175,661923.3,159.1,0.7,42.666666666666664,79905.29999999999,11.482150789166816,360.9666666666667
58,Республика Тыва,52.4,0.0897778617080393,45.0,33.99999999999999,74894.0,2.6,77.1,174936.30469677527,16552.5,103.55000000000001,6.176097727846153,-2.318745462735222,1.7292,12.45,13.6,1.2743921770969968,6.3744000000000005,231519.30000000002,342.0333333333333,8.5,5.2,63618.35,20.32075462936448,291.90000000000003
59,Республика Хакасия,54.3,0.05359781134502543,43.2,18.7,162325.5,2.4,78.35,811351.336030313,22087.0,100.925,2.875639095641799,-0.853836438122492,5.7021,16.5,17.9,0.5358009945805962,0.0,459103.5,285.43333333333334,1.0,18.366666666666667,84791.05,11.107330782388225,357.9666666666667
60,Ростовская область,54.5,0.031034987765212664,43.9,13.350000000000001,223029.5,1.6,30.15,509071.39265205426,29753.75,100.6,2.5943588242736095,1.559226268678256,3.8356500000000002,10.149999999999999,18.2,0.3952183320649068,0.8280000000000001,375668.45000000007,99.03333333333335,0.8,38.86666666666667,80601.6,9.432440688755982,285.53333333333336
61,Рязанская область,59.7,0.03981036845390619,37.0,12.95,179041.25,3.3,54.900000000000006,643256.8831567923,25977.75,98.675,2.073270312178148,0.8114158244425375,6.30525,17.15,19.0,0.4797257894520961,0.138,382276.92500000005,224.66666666666666,0.3,1.4333333333333333,69944.1,8.773489515223776,462.40000000000003
62,Самарская область,53.6,0.028527175622305837,36.9,12.8,206085.25,9.5,47.849999999999994,984414.6996805505,28647.0,98.80000000000001,2.164617007384855,0.607142938313196,6.2682,10.6,16.9,0.5348340417483687,0.71,499635.225,339.0,0.8,10.033333333333333,100452.70000000001,9.82173414976438,515.5
63,Санкт-Петербург,64.6,0.022413705831691375,25.7,6.525,268525.25,9.8,15.65,1056185.9068501326,45928.25,102.375,1.060915409366725,5.2328531881722125,6.8619,9.55,15.7,0.17787958934478837,0.4815,904691.8,242.33333333333334,0.1,9.033333333333333,97324.25,11.439581894731417,413.3
64,Саратовская область,58.5,0.0440595129791982,39.0,15.524999999999999,150065.75,2.5,51.6,444773.652896709,22117.5,100.75,2.3926763298425686,-2.733729596977844,4.4883500000000005,5.75,17.8,0.5075214681581031,0.4921000000000001,325738.725,467.26666666666665,2.2,4.166666666666667,74971.0,8.634746637402447,488.0
