region,"Трудящиеся, чел.","Розничная торговля на душу населения, руб./чел.","Пенсионеры,чел.","Алкоголизм, на тыс.чел","Региональный продукт, на тыс. чел.","Реальные доходы,руб.мес./чел.","Количество безработных, %","Миграционный прирост, на тыс.чел","Наркомания, на тыс.чел","Средняя жилая площадь на чел, м.кв.","Количество школ, шт./1000 чел.","В очереди на переселение, чел.","Ветхое жильё, м.кв.","Подростковая беременность, на 100тыс.чел.","Общая заболеваемость, на 100тыс.чел.","Рождаемость, чел./1000 чел.","Психические расстройства, на 100тыс.чел."
Республика Башкортостан,4.014579593753238,220173.25,4.5,59.15,13.597091319699718,4.590564033598729,2.484675624364149,-1.3518978266856752,6.0,17.4,0.5498003712752194,-0.008838948667204392,0.5,2.1671471220989416,84716.1,11.067904335179412,425.4
Республика Бурятия,4.000033882750859,186356.25,3.7,44.85,12.540604145920211,4.589548805085134,4.304373827883454,-2.1118096019279533,3.35,17.2,0.7678939087526702,0.7476353658440151,3.2,1.9218125974762528,60954.6,13.5507782790377,341.6
Республика Карелия,4.062165663857866,203211.5,3.0,83.69999999999999,13.52042742069224,4.6166045636137545,4.150402528602519,-1.5864208500104968,6.449999999999999,17.1,0.5574440467546153,1.5434049418296625,3.4,3.245193133185574,111896.45,9.373462487412796,694.4333333333334
Республика Крым,3.914021008090819,136462.0,1.7,55.45,11.979720349116304,4.631812116934513,2.903139324937104,4.114981048552227,14.7,19.0,0.4802137813517155,-1.4696759700589421,0.7,1.7520942128356236,52444.75,10.373788664789886,330.4666666666667
Республика Марий Эл,4.119037174812473,128807.0,5.8,74.95,13.13014474496239,4.5953723435079805,2.7651317618290068,-1.122188752148111,3.2,16.5,0.5158771450303591,0.6161581390318096,1.8,1.7972996496036704,92493.8,10.597349140792147,534.6666666666666
Республика Татарстан,3.9259259105971376,233713.5,7.3,50.65,14.125745398998617,4.597138014290827,1.788069137560857,1.065909986956594,9.9,16.2,0.4735145151201094,0.7770286645406473,0.7,3.7534179752515073,79905.29999999999,11.482150789166816,360.9666666666667
Ростовская область,3.9982007016691985,223029.5,1.6,30.15,13.140343546310133,4.611152257665639,2.594358824273609,1.559226268678256,10.15,18.2,0.3952183320649068,-0.18874212459687728,0.8,3.660136985248282,80601.6,9.432440688755982,285.53333333333336
Рязанская область,4.089332020398556,179041.25,3.3,54.900000000000006,13.374299430680276,4.591831621548911,2.073270312178148,0.8114158244425375,17.15,19.0,0.4797257894520961,-1.9805015938249322,0.3,0.3600027340314069,69944.1,8.773489515223776,462.4
Самарская область,3.9815490680767565,206085.25,9.5,47.85,13.79980253001712,4.593097604753822,2.164617007384855,0.607142938313196,10.6,16.9,0.5348340417483687,-0.342490308946776,0.8,2.3059128830867204,100452.7,9.82173414976438,515.5
Санкт-Петербург,4.168214410788556,268525.25,9.8,15.65,13.870174775907222,4.628642542173234,1.060915409366725,5.2328531881722125,9.55,15.7,0.1778795893447883,-0.7308490477439569,0.1,2.200921439217545,97324.25,11.439581894731417,413.3
Саратовская область,4.069026754237811,150065.75,2.5,51.6,13.005320786568603,4.612642200826793,2.3926763298425686,-2.733729596977844,5.75,17.8,0.5075214681581031,-0.7090733311102043,2.2,1.4271163556401458,74971.0,8.634746637402447,488.0
Свердловская область,3.9415818076696905,262065.5,2.2,52.5,13.90114686658099,4.5885325448350684,2.5102747373600462,0.5151329117560888,14.25,15.8,0.3521178862014179,-0.3218595242533675,0.9,2.394860369103217,74009.7,11.233624117432711,443.3
Ставропольский край,4.075841090657541,182680.25,1.9,24.05,12.537975303791242,4.599403591093754,2.5946384790330987,0.2147471682336992,4.0,19.0,0.3691968433312838,-1.2323722788476337,0.9,1.6357552207514736,57594.100000000006,10.575093095039543,241.46666666666667
Тамбовская область,4.075841090657541,197700.5,7.6,44.2,12.792009910607954,4.57522630961502,2.084659130160111,-3.289562814758508,5.05,19.7,0.561171571435206,0.03960525459235942,0.6,0.4054651081081644,64812.75,7.897782376721339,479.36666666666673
Томская область,3.9926809084456005,151429.75,3.6,42.55,13.532705362800034,4.590564033598729,3.34269535295803,-0.6843021277345427,8.6,16.9,0.4479356011425603,-0.46203545959655884,1.9,2.653241964607215,71028.35,10.399908759716302,706.2666666666668
Тюменская область без округов,4.001863709427935,255919.5,7.5,62.2,16.28830818696009,4.6207974418737905,2.2112477587081143,8.784322618064303,13.0,18.1,0.3936537675000784,1.7081604453517414,3.3,3.582592583595979,63981.4,13.297323478528105,428.3666666666666
Тюменская область без округов,4.001863709427935,255919.5,7.5,62.2,16.28830818696009,4.6207974418737905,2.2112477587081143,8.784322618064303,13.0,18.1,0.3936537675000784,1.7081604453517414,3.3,3.582592583595979,63981.4,13.297323478528105,428.3666666666666
Удмуртская Республика,3.8607297110405954,155613.0,2.7,55.6,13.638683786732603,4.591578232468624,2.595137801486036,-1.887147112184644,7.6,14.8,0.5386492395462392,0.27398874531977835,1.9,2.2192034840549946,97955.0,10.523143014947298,445.5333333333333
Хабаровский край,4.109233174715851,253997.0,6.4,128.5,13.416620294091233,4.59562477314456,2.2363925421876107,-3.5265173876217464,15.9,15.4,0.3688920140148852,-0.6311117896404926,1.2,0.7731898882334817,67013.45000000001,11.194984743462184,359.56666666666666
Ханты-Мансийский автономный округ - Югра,3.758871825933971,253189.25,1.6,41.95,15.432994756102975,4.617098756853365,1.5407501299396065,-0.2640210144461515,9.1,13.9,0.2863920283926882,1.7600623824848005,2.8,2.7557816039234,89524.4,13.128456239156952,404.4333333333333
Челябинская область,3.977810745966149,155366.75,6.0,68.65,13.789626706602467,4.599906356312992,3.227268973496717,-0.8533105802978315,23.200000000000003,16.0,0.3801850310159987,-0.6443570163905132,0.8,2.6508917872622613,87331.7,10.464516507681696,747.7666666666668
Чувашская Республика,4.298645025734831,129401.75,4.2,77.7,12.867105814910191,4.6166045636137545,2.6078844087834363,-2.6015684387309137,1.45,14.2,0.4751782324506931,0.6295681989170739,1.2,2.049841071903545,95869.05,10.1825661704827,605.6333333333333
Ямало-Ненецкий автономный округ,3.879499813722586,254770.0,0.7,93.3,16.14877960367972,4.641502115235482,1.3885552499191167,-3.0279761483236203,16.5,15.5,0.3193778815962209,1.611256258240884,1.7,2.842969519001581,113972.4,13.284308075976188,650.7666666666668
